String1_Result1,Search String,Result Number,String1_Result2,String1_Result3,String1_Result4,String1_Result5,String1_Result6,String1_Result7,String1_Result8,String1_Result9,String1_Result10,String1_Result11,String1_Result12,String1_Result13,String1_Result14,String1_Result15,String1_Result16,String1_Result17,String1_Result18,String1_Result19,String1_Result20,String1_Result21,String1_Result22,String1_Result23,String1_Result24,String1_Result25,String1_Result26,String1_Result27,String1_Result28,String1_Result29,String1_Result30,String2_Result1,String2_Result2,String2_Result3,String2_Result4,String2_Result5,String2_Result6,String2_Result7,String2_Result8,String2_Result9,String2_Result10,String2_Result11,String2_Result12,String2_Result13,String2_Result14,String2_Result15,String2_Result16,String2_Result17,String2_Result18,String2_Result19,String2_Result20,String2_Result21,String2_Result22,String2_Result23,String2_Result24,String2_Result25,String2_Result26,String2_Result27,String2_Result28,String2_Result29,String2_Result30
R$ 43,Search String 1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Search String 1,2,R$ 2.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Search String 1,3,,R$ 531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Search String 1,4,,,R$ 86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Search String 1,5,,,,R$ 379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Search String 1,6,,,,,R$ 96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Search String 1,7,,,,,,R$ 134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Search String 1,8,,,,,,,R$ 217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Search String 1,9,,,,,,,,R$ 575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Search String 1,10,,,,,,,,,R$ 264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
